Frequency (Hz)	Level (dB)
4586.572266	-42.984657
4597.338867	-42.380669
4608.105469	-41.249859
4618.872070	-40.152523
4629.638672	-38.785633
4640.405273	-37.081882
4651.171875	-36.191257
4661.938477	-36.927151
4672.705078	-38.614113
4683.471680	-40.600903
4694.238281	-42.709579
4705.004883	-44.798084
4715.771484	-46.606857
4726.538086	-48.039230
4737.304688	-49.186039
4748.071289	-50.466789
4758.837891	-51.315838
4769.604492	-52.353298
4780.371094	-53.430531
4791.137695	-54.095219
4801.904297	-54.709988
4812.670898	-55.137215
4823.437500	-55.728554
4834.204102	-56.123196
4844.970703	-56.160675
4855.737305	-56.360851
4866.503906	-56.352448
4877.270508	-56.251228
4888.037109	-55.703659
4898.803711	-55.370590
4909.570312	-54.658524
4920.336914	-53.901299
4931.103516	-52.912029
4941.870117	-52.244549
4952.636719	-52.885624
4963.403320	-54.979118
4974.169922	-57.781609
4984.936523	-60.289253
4995.703125	-62.596313
5006.469727	-64.500114
5017.236328	-66.802589
5028.002930	-68.390190
5038.769531	-69.365723
5049.536133	-70.789520
5060.302734	-72.020737
5071.069336	-72.916977
5081.835938	-73.764877
5092.602539	-74.063721
5103.369141	-74.339844
5114.135742	-74.675125
5124.902344	-74.316330
5135.668945	-74.287758
5146.435547	-73.994980
5157.202148	-73.041885
5167.968750	-71.985649
5178.735352	-71.216347
5189.501953	-70.006424
5200.268555	-68.830681
5211.035156	-67.685555
5221.801758	-67.121117
5232.568359	-66.998894
5243.334961	-67.833420
5254.101562	-69.927414
5264.868164	-72.670837
5275.634766	-74.932961
5286.401367	-77.947548
5297.167969	-81.031128
5307.934570	-83.591255
5318.701172	-86.959160
5329.467773	-90.598740
5340.234375	-94.087166
5351.000977	-97.713058
5361.767578	-101.576752
5372.534180	-106.195564
5383.300781	-110.962929
5394.067383	-115.246056
5404.833984	-120.123215
5415.600586	-125.714912
5426.367188	-131.694870
5437.133789	-137.712006
5447.900391	-142.544006
5458.666992	-146.135330
5469.433594	-147.576080
5480.200195	-147.996780
5490.966797	-148.270660
5501.733398	-148.423981
