Frequency (Hz)	Level (dB)
5178.735352	-66.931396
5189.501953	-67.138969
5200.268555	-66.699257
5211.035156	-67.015038
5221.801758	-67.635201
5232.568359	-68.593277
5243.334961	-69.334602
5254.101562	-69.701248
5264.868164	-70.615128
5275.634766	-72.282227
5286.401367	-73.863426
5297.167969	-75.238663
5307.934570	-77.581558
5318.701172	-80.772659
5329.467773	-83.520126
5340.234375	-85.732513
5351.000977	-89.501877
5361.767578	-93.356941
5372.534180	-97.121346
5383.300781	-102.152527
5394.067383	-106.621361
5404.833984	-111.824265
5415.600586	-117.422913
5426.367188	-123.464088
5437.133789	-130.741684
5447.900391	-137.656586
5458.666992	-143.660645
5469.433594	-146.981781
5480.200195	-148.081818
5490.966797	-148.463974
5501.733398	-148.681000
