Frequency (Hz)	Level (dB)
4166.674805	-39.810455
4177.441406	-39.750420
4188.208008	-40.121292
4198.974609	-40.872921
4209.741211	-41.590023
4220.507812	-42.215500
4231.274414	-43.403355
4242.041016	-44.560230
4252.807617	-45.328972
4263.574219	-45.771015
4274.340820	-46.710075
4285.107422	-47.792484
4295.874023	-48.131340
4306.640625	-48.715107
4317.407227	-49.256527
4328.173828	-50.217403
4338.940430	-50.489799
4349.707031	-51.409508
4360.473633	-52.305534
4371.240234	-52.551022
4382.006836	-53.520874
4392.773438	-53.958298
4403.540039	-54.212494
4414.306641	-54.639282
4425.073242	-55.458755
4435.839844	-55.621460
4446.606445	-56.042606
4457.373047	-56.147484
4468.139648	-56.614861
4478.906250	-57.150574
4489.672852	-57.418228
4500.439453	-57.858410
4511.206055	-58.751957
4521.972656	-58.921497
4532.739258	-59.189541
4543.505859	-59.197453
4554.272461	-59.883484
4565.039062	-60.147411
4575.805664	-60.495049
4586.572266	-60.909946
4597.338867	-61.371044
4608.105469	-61.561172
4618.872070	-61.885494
4629.638672	-62.648479
4640.405273	-62.937763
4651.171875	-63.199657
4661.938477	-63.726139
4672.705078	-64.069664
4683.471680	-64.177818
4694.238281	-64.568871
4705.004883	-65.098198
4715.771484	-65.616997
4726.538086	-65.773018
4737.304688	-65.634254
4748.071289	-66.370842
4758.837891	-66.561241
4769.604492	-66.943367
4780.371094	-67.605675
4791.137695	-67.714577
4801.904297	-68.056427
4812.670898	-68.342644
4823.437500	-68.462303
4834.204102	-68.704750
4844.970703	-69.138565
4855.737305	-69.606873
4866.503906	-70.050049
4877.270508	-70.327370
4888.037109	-70.320175
4898.803711	-70.896729
4909.570312	-71.189034
4920.336914	-71.542709
4931.103516	-71.413864
4941.870117	-71.369522
4952.636719	-71.132301
4963.403320	-71.149010
4974.169922	-71.924858
4984.936523	-72.336700
4995.703125	-72.499855
5006.469727	-72.915245
5017.236328	-74.526146
5028.002930	-75.542580
5038.769531	-76.333786
5049.536133	-77.681412
5060.302734	-79.406036
5071.069336	-81.155304
5081.835938	-83.111351
5092.602539	-84.564346
5103.369141	-86.060585
5114.135742	-87.492821
5124.902344	-89.019341
5135.668945	-90.398727
5146.435547	-91.396912
5157.202148	-91.752220
5167.968750	-92.197784
5178.735352	-93.236473
5189.501953	-93.941200
5200.268555	-94.420631
5211.035156	-95.343864
5221.801758	-96.120346
5232.568359	-96.955200
5243.334961	-97.307014
5254.101562	-98.215271
5264.868164	-99.757362
5275.634766	-101.239059
5286.401367	-103.145264
5297.167969	-105.202499
5307.934570	-107.039230
5318.701172	-109.482399
5329.467773	-112.496468
5340.234375	-115.556854
5351.000977	-118.639221
5361.767578	-121.990990
5372.534180	-126.403877
5383.300781	-130.757294
5394.067383	-135.240265
5404.833984	-140.813889
5415.600586	-146.251648
5426.367188	-152.954773
5437.133789	-158.233322
5447.900391	-161.792664
5458.666992	-163.617142
5469.433594	-163.926773
5480.200195	-163.721024
5490.966797	-164.055023
5501.733398	-164.326279
